nom;url;arrival_url
Nostalgie;https://www.nostalgie.fr/;https://www.nostalgie.fr/
Ouest France;https://www.ouest-france.fr/;https://www.ouest-france.fr/
Le Courrier de l’Ouest;https://www.ouest-france.fr/;https://www.ouest-france.fr/le-courrier-de-l-ouest/
Le Maine libre;https://www.ouest-france.fr/;https://www.ouest-france.fr/le-maine-libre/
Presse-Océan;https://www.ouest-france.fr/;https://www.ouest-france.fr/presse-ocean/
La Presse de la Manche;;https://actu.fr/la-presse-de-la-manche/
20 Minutes;https://www.20minutes.fr/;https://www.20minutes.fr/
La Voix du Nord;https://www.lavoixdunord.fr/;https://www.lavoixdunord.fr/
Nord éclair;https://www.nordeclair.fr/;https://www.nordeclair.fr/
Nord Littoral;https://www.nordlittoral.fr/;https://www.nordlittoral.fr/
Courrier picard;https://www.courrier-picard.fr/;https://www.courrier-picard.fr/
L’aisne Nouvelle;https://www.aisnenouvelle.fr/;https://www.aisnenouvelle.fr/
L’Union - L’Ardennais;;
L’Est-éclair - Libération Champagne;https://www.lest-eclair.fr/;https://www.lest-eclair.fr/11819/entities/liberation-champagne
L’Avenir de l’Artois;https://lavenirdelartois.nordlittoral.fr/;https://lavenirdelartois.nordlittoral.fr/
Les Echos du Touquet;https://lesechosdutouquet.nordlittoral.fr/;https://lesechosdutouquet.nordlittoral.fr/
Le Journal des Flandres;https://lejournaldesflandres.nordlittoral.fr/;https://lejournaldesflandres.nordlittoral.fr/
Le Messager;https://www.lemessager.fr/;https://www.lemessager.fr/
L’Essor savoyard;https://www.lessorsavoyard.fr/;https://www.lessorsavoyard.fr/
Le Pays gessien;https://www.lepaysgessien.fr/;https://www.lepaysgessien.fr/
La Tribune républicaine;https://www.latribunerepublicaine.fr/;https://www.latribunerepublicaine.fr/
La Savoie;https://www.lasavoie.fr/;https://www.lasavoie.fr/
Le Phare Dunkerquois;https://lepharedunkerquois.nordlittoral.fr/;https://lepharedunkerquois.nordlittoral.fr/
La Semaine dans le Boulonnais;https://lasemainedansleboulonnais.nordlittoral.fr/;https://lasemainedansleboulonnais.nordlittoral.fr/
Le Réveil de Berck;https://lereveildeberck.nordlittoral.fr/;https://lereveildeberck.nordlittoral.fr/
Le Journal de Montreuil;https://lejournaldemontreuil.nordlittoral.fr/;https://lejournaldemontreuil.nordlittoral.fr/
L’indicateur;;
